,Code,Branch Name,Public
40,6 y0217,WSU - Dunbar,FALSE
40,7 y0218,YSU Maag Library,FALSE
40,8 y0301,Belmont Tech Library,FALSE
40,9 y0303,Clark State CC,FALSE
41,0 y0304,Columbus State CC,FALSE
41,1 y0305,Cincinnati State CC,FALSE
41,2 y0306,Edison CC Library,FALSE
41,3 y0307,Hocking College,FALSE
41,4 y0308,Jefferson CC,FALSE
41,5 y0309,Lakeland CC Library,FALSE
41,6 y0310,LCCC Library,FALSE
41,7 y0311,Northwest State CC,FALSE
41,8 y0312,Owens CCC,FALSE
41,9 y0313,Rio Grande,FALSE
42,0 y0314,Sinclair CC LRC,FALSE
42,1 y0316,Terra CC,FALSE
42,2 y0317,Washington St CC,FALSE
42,3 y0322,CCC - Metro Library,FALSE
42,4 y0323,CCC - West Library,FALSE
42,5 y0324,CCC - East Library,FALSE
42,6 y0326,CCC - Westshore Campus,FALSE
42,7 y0335,SSCC South Campus,FALSE
42,8 y0336,SSCC Central Campus,FALSE
42,9 y0337,SSCC North Campus,FALSE
43,0 y0338,SSCC Fayette Campus,FALSE
43,1 y0345,Sinclair CC,FALSE
43,2 y0350,CSCC - Delaware Learning Center,FALSE
43,3 y0380,Lakeland East Madison,FALSE
43,4 y0381,Lakeland West Willowick,FALSE
43,5 y0382,Lakeland Main Curbside,FALSE
43,6 y0383,Lakeland Holden University,FALSE
43,7 y0401,Oberlin College,FALSE
43,8 y0402,Ohio Northern-Hetrck,FALSE
43,9 y0403,Cedarville Univ.,FALSE
44,0 y0404,Mount St. Joseph Lib,FALSE
44,1 y0406,Xavier U - McDonald,FALSE
44,2 y0407,Cap U Blackmore Lib,FALSE
44,3 y0408,Mt Vernon Nazarene,FALSE
44,4 y0409,Ursuline College,FALSE
44,5 y0410,Ohio Dominican,FALSE
44,6 y0411,Hiram College,FALSE
44,7 y0412,Witt Univ Thomas Lib,FALSE
44,8 y0413,John Carroll Univ,FALSE
44,9 y0415,Ashland Univ,FALSE
45,0 y0416,Cincinnati Bible Col,FALSE
45,1 y0417,Marietta College,FALSE
45,2 y0418,Notre Dame Coll Lib,FALSE
45,3 y0428,Ohio Northern-Law,FALSE
45,4 y0430,Franklin Univ,FALSE
45,5 y0432,Cleveland Clinic,FALSE
,,,
,,Page 8,
45,6 y0434,Myers University,FALSE
45,7 y0437,Westerville Public Library,FALSE
45,8 y0440,CCPL Parma-Snow,FALSE
45,9 y0442,CPPL Fairview Park,FALSE
46,0 y0444,CCPL Maple Heights,FALSE
46,1 y0446,CCPL Mayfield Reg,FALSE
46,2 y0448,CCPL Parma,FALSE
46,3 y0450,CCPL Administration,FALSE
46,4 y0451,CCPL - Metro Health,FALSE
46,5 y0452,CCPL Bay Village,FALSE
46,6 y0454,CCPL Beachwood,FALSE
46,7 y0456,CCPL Berea,FALSE
46,8 y0458,CCPL Brecksville,FALSE
46,9 y0460,CCPL Brook Park,FALSE
47,0 y0462,CCPL Brooklyn,FALSE
47,1 y0464,CCPL Chagrin Falls,FALSE
47,2 y0468,CCPL S Eclid-Lndhrst,FALSE
47,3 y0470,CCPL Garfield Heights,FALSE
47,4 y0472,CCPL Gates Mills,FALSE
47,5 y0474,CCPL Independence,FALSE
47,6 y0476,CCPL Southeast,FALSE
47,7 y0478,CCPL Strongsville,FALSE
47,8 y0480,CCPL Middleberg Hghts,FALSE
47,9 y0482,CCPL North Olmstead,FALSE
48,0 y0484,CCPL North Royalton,FALSE
48,1 y0486,CCPL Olmsted Falls,FALSE
48,2 y0488,CCPL Orange,FALSE
48,3 y0490,CCPL Parma Heights,FALSE
48,4 y0492,CCPL Warrensville,FALSE
48,5 y0494,CCPL Parma-Ridge,FALSE
48,6 y0496,CCPL Richmond Mini,FALSE
48,7 y0498,CCPL Solon,FALSE
48,8 y0501,"U of Akron, Wayne",FALSE
48,9 y0502,"BGSU, Firelands",FALSE
49,0 y0503,U of Cincinnati - Blue Ash College,FALSE
49,1 y0504,U of Cin - Clermont,FALSE
49,2 y0505,U of Cin - Health Sc,FALSE
49,3 y0506,U of Cin - Law Lib,FALSE
49,4 y0508,Kent - Trumbull,FALSE
49,5 y0509,Kent - Salem,FALSE
49,6 y0510,Kent - Stark,FALSE
49,7 y0511,Kent - Tuscarawas,FALSE
49,8 y0512,Kent - Geauga,FALSE
49,9 y0513,Kent - Ashtabula,FALSE
50,0 y0514,Kent -East Liverpool,FALSE
50,1 y0516,Miami U - Middletown,FALSE
50,2 y0517,Miami U - Hamilton,FALSE
50,3 y0518,OSU Lima Campus,FALSE
50,4 y0520,OSU Ag Tech Inst,FALSE
50,5 y0521,OSU Mansfield Campus,FALSE
50,6 y0522,OSU - Marion,FALSE
50,7 y0523,OSU Newark Campus,FALSE
50,8 y0524,OSU - Moritz Law,FALSE
50,9 y0525,OSU - Health Sci.,FALSE
51,0 y0526,OSU Sullivant,FALSE
51,1 y0527,OSU OARDC Wooster,FALSE
51,2 y0528,OSU Science & Engineering,FALSE
51,3 y0529,OU Eastern Campus,FALSE
,,,
,,Page 9,
51,4 y0530,OU Chillicothe Campus,FALSE
51,5 y0531,OU Zanesville Campus,FALSE
51,6 y0532,OU Lancaster Campus,FALSE
51,7 y0533,OU Southern Campus,FALSE
51,8 y0535,Ohio U-Proctorville Ctr,FALSE
51,9 y0536,OU Music/Dance Library,FALSE
52,0 y0545,U of Toledo - Law Lib,FALSE
52,1 y0549,WSU - Lake Campus,FALSE
52,2 y0550,U of Toledo-Scott Pk,FALSE
52,3 y0553,"CWRU, Health Sci",FALSE
52,4 y0601,Athenaeum Library,FALSE
52,5 y0603,Antioch College Lib,FALSE
52,6 y0604,Antioch University Lib,FALSE
52,7 y0605,Baldwin-Wall Ritter,FALSE
52,8 y0607,Bluffton College Lib,FALSE
52,9 y0608,Cols Coll Art & Des,FALSE
53,0 y0609,Defiance College Lib,FALSE
53,1 y0611,U Findlay Shafer Lib,FALSE
53,2 y0613,Franciscan JP II Lib,FALSE
53,3 y0615,Heidelberg Beeghly,FALSE
53,4 y0616,Lourdes Coll Library,FALSE
53,5 y0617,Malone College Lib,FALSE
53,6 y0618,Mercy College,FALSE
53,7 y0619,Mt Carmel West Lib,FALSE
53,8 y0621,Mt Union Main Lib,FALSE
53,9 y0623,Muskingum Coll Lib,FALSE
54,0 y0625,Otterbein Coll Lib,FALSE
54,1 y0627,Tiffin Univ Library,FALSE
54,2 y0628,Urbana Univ Lib,FALSE
54,3 y0629,Wilberforce Univ Lib,FALSE
54,4 y0631,Wilmington Coll Lib,FALSE
54,5 y0635,Tiffin Univ Lima,FALSE
54,6 y0637,Tiffin Univ Lorain,FALSE
54,7 y0640,Walsh University,FALSE
54,8 y0642,Methodist Theo. Sch. in Ohio,FALSE
54,9 y0644,Pontifical Coll. Josephinum,FALSE
55,0 y0646,Trinity Lutheran Seminary,FALSE
55,1 y0648,Ohio Christian University PUA,FALSE
55,2 y0670,Saint Mary Sem...PUA,FALSE
55,3 y0672,University of NW OH PUA,FALSE
55,4 y0701,Denison Univ - Doane,FALSE
55,5 y0703,Kenyon College,FALSE
55,6 y0705,OWU - Beeghly Lib,FALSE
55,7 y0707,College of Wooster,FALSE
55,8 yccpl,CCPL Southeast,FALSE
55,9 ym2pl,~Youngstown-Mahoning,FALSE
56,0 ys2ug,Youngstown State Univ,FALSE
